round,period_length,asset_endowment,cash_endowment,allow_short,g,k,block_total,participation_fee,m,y,height
1,120,1,100,False,30,0.1,4,298.71,55,2,3
2,120,1,100,False,30,0.1,4,0,60,68,3
3,120,1,100,False,30,0.1,4,0,52,33,3
4,120,1,100,False,30,0.1,4,0,6,84,3
5,120,1,100,False,70,2.5,4,240.93,5,11,15
6,120,1,100,False,70,2.5,4,0,70,86,15
7,120,1,100,False,70,2.5,4,0,91,76,15
8,120,1,100,False,70,2.5,4,0,45,43,15
9,120,1,100,False,30,2.5,4,294.66,8,98,15
10,120,1,100,False,30,2.5,4,0,53,16,15
11,120,1,100,False,30,2.5,4,0,52,12,15
12,120,1,100,False,30,2.5,4,0,45,22,15
13,120,1,100,False,70,0.1,4,233.37,53,83,3
14,120,1,100,False,70,0.1,4,0,73,18,3
15,120,1,100,False,70,0.1,4,0,42,10,3
16,120,1,100,False,70,0.1,4,0,31,10,3
17,120,1,100,False,30,2.5,4,311.67,60,73,15
18,120,1,100,False,30,2.5,4,0,89,48,15
19,120,1,100,False,30,2.5,4,0,57,79,15
20,120,1,100,False,30,2.5,4,0,15,65,15
21,120,1,100,False,70,2.5,4,249.75,78,7,15
22,120,1,100,False,70,2.5,4,0,37,64,15
23,120,1,100,False,70,2.5,4,0,87,37,15
24,120,1,100,False,70,2.5,4,0,23,66,15
